,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF3C0226520/2012-mazda-mx-5-miata/,JM1NC2JF3C0226520,Excellent Price,6684,2012 Mazda MX-5 Miata,Sport Automatic,"Houston, TX",95618,True Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-10 10:31:15.099868
1,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2C0224345/2012-mazda-mx-5-miata/?zipcode=78299,JM1NC2PF2C0224345,Great Price,14990,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"San Antonio, TX",41937,Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-10 10:31:15.099868
2,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF3F0241101/2015-mazda-mx-5-miata/,JM1NC2MF3F0241101,Great Price,14998,2015 Mazda MX-5 Miata,Club Hard Top Auto,"Austin, TX",57936,Gray,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-10 10:31:15.099868
3,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF9A0205354/2010-mazda-mx-5-miata/,JM1NC2FF9A0205354,Excellent Price,7291,2010 Mazda MX-5 Miata,Touring PRHT Automatic,"Houston, TX",80451,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-04-10 10:31:15.099868
4,2014 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF6E0233634/2014-mazda-mx-5-miata/,JM1NC2PF6E0233634,Excellent Price,10989,2014 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Foley, AL",81285,Jet Black,Unknown,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,4,2020-04-10 10:31:15.099868
5,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF4D0232005/2013-mazda-mx-5-miata/,JM1NC2JF4D0232005,Great Price,10888,2013 Mazda MX-5 Miata,Sport Automatic,"Austin, TX",69004,Dolphin Gray Mica,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,2,2020-04-10 10:31:15.099868
6,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1B0217109/2011-mazda-mx-5-miata/,JM1NC2PF1B0217109,Excellent Price,10995,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Bethany, OK",77573,Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-04-10 10:31:15.099868
7,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2D0227957/2013-mazda-mx-5-miata/,JM1NC2PF2D0227957,Excellent Price,12100,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Centennial, CO",58306,Sparkling Black,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-10 10:31:15.099868
8,2016 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NDAB79G0117824/2016-mazda-mx-5-miata/,JM1NDAB79G0117824,Excellent Price,14400,2016 Mazda MX-5 Miata,Sport Automatic,"Centennial, CO",39969,Soul Red Metallic,Black,MPG27 cty / 36 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-10 10:31:15.099868
9,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF0B0219613/2011-mazda-mx-5-miata/,JM1NC2PF0B0219613,Great Price,13691,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Houston, TX",35942,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-10 10:31:15.099868
10,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF0C0222190/2012-mazda-mx-5-miata/,JM1NC2PF0C0222190,Great Price,13697,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Houston, TX",31029,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-10 10:31:15.099868
11,2016 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NDAB71G0101441/2016-mazda-mx-5-miata/,JM1NDAB71G0101441,Excellent Price,13900,2016 Mazda MX-5 Miata,Sport Automatic,"Bothell, WA",37653,Arctic White,Black,MPG27 cty / 36 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-10 10:31:15.099868
12,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF6D0227847/2013-mazda-mx-5-miata/,JM1NC2PF6D0227847,Excellent Price,14490,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Bel Air, MD",36953,Dolphin Gray Metallic,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-04-10 10:31:15.099868
13,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF6A0207286/2010-mazda-mx-5-miata/,JM1NC2FF6A0207286,Great Price,11495,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Plano, TX",72598,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-04-10 10:31:15.099868
14,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF0B0215478/2011-mazda-mx-5-miata/,JM1NC2PF0B0215478,Great Price,13588,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Norman, OK",42763,Stormy Blue Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-10 10:31:15.099868
15,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF7D0227182/2013-mazda-mx-5-miata/,JM1NC2MF7D0227182,Great Price,11500,2013 Mazda MX-5 Miata,Club Hard Top Manual,"Buford, GA",59198,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-04-10 10:31:15.099868
16,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF9B0219389/2011-mazda-mx-5-miata/,JM1NC2JF9B0219389,Excellent Price,9945,2011 Mazda MX-5 Miata,Sport Automatic,"Sacramento, CA",75293,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-10 10:31:15.099868
