,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5EM621073/2014-nissan-370z/,JN1AZ4FH5EM621073,Excellent Price,15999,2014 Nissan 370Z,Touring Roadster Auto,"Honolulu, HI",47450,Pearl White,Wine,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-05-07 10:57:48.434584
1,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH3AM304709/2010-nissan-370z/,JN1AZ4FH3AM304709,Great Price,12491,2010 Nissan 370Z,Touring Roadster Auto,"Pinellas Park, FL",77838,Brilliant Silver Metallic,Wine,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-05-07 10:57:48.434584
2,2011 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5BM360684/2011-nissan-370z/,JN1AZ4FH5BM360684,Excellent Price,9800,2011 Nissan 370Z,Touring Roadster Auto,"Elmhurst, NY",98890,Black Cherry,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-05-07 10:57:48.434584
3,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FHXCM370757/2012-nissan-370z/,JN1AZ4FHXCM370757,Great Price,12950,2012 Nissan 370Z,Base Roadster Auto,"Newport News, VA",44003,Pearl White,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Lemon,2,2020-05-07 10:57:48.434584
4,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH4EM620755/2014-nissan-370z/,JN1AZ4FH4EM620755,Great Price,18011,2014 Nissan 370Z,Touring Roadster Auto,"West Chester, OH",55920,Brilliant Silver Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,3,2020-05-07 10:57:48.434584
5,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH9CM371012/2012-nissan-370z/,JN1AZ4FH9CM371012,Great Price,17599,2012 Nissan 370Z,Touring Roadster Auto,"Somerset, MA",46783,Black Cherry Metallic,Wine,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-05-07 10:57:48.434584
6,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FHXAM301810/2010-nissan-370z/,JN1AZ4FHXAM301810,Excellent Price,9599,2010 Nissan 370Z,Touring Roadster Manual,"Santa Ana, CA",64999,Black Cherry Metallic,Wine,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,2,2020-05-07 10:57:48.434584
