,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2015 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53FP556843/2015-bmw-z4/,WBALL5C53FP556843,Excellent Price,19991,2015 BMW Z4,sDrive28i,"Gladstone, OR",62658,Jet Black,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-05-14 17:59:42.387838
1,2016 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C54G5A20645/2016-bmw-z4/,WBALL5C54G5A20645,Excellent Price,19995,2016 BMW Z4,sDrive28i,"Van Nuys, CA",65532,Jet Black,Black/Orange,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-05-14 17:59:42.387838
2,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM7C56CE384520/2012-bmw-z4/,WBALM7C56CE384520,Great Price,17000,2012 BMW Z4,Roadster sDrive35i,"Redwood City, CA",78621,Black Sapphire Metallic,Black,MPG19 cty / 26 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-05-14 17:59:42.387838
3,2014 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53EJ105252/2014-bmw-z4/,WBALL5C53EJ105252,Great Price,17990,2014 BMW Z4,sDrive28i,"Burbank, CA",32820,Deep Sea Blue Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,1,2020-05-14 17:59:42.387838
4,2013 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C5XDJ104176/2013-bmw-z4/,WBALL5C5XDJ104176,Excellent Price,15883,2013 BMW Z4,Roadster sDrive28i,"Chandler, AZ",88021,Black Sapphire Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-05-14 17:59:42.387838
5,2013 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM7C50DE385549/2013-bmw-z4/,WBALM7C50DE385549,Great Price,19950,2013 BMW Z4,Roadster sDrive35i,"Daytona Beach, FL",65706,Melbourne Red Metallic,Black,MPG19 cty / 26 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,1,2020-05-14 17:59:42.387838
6,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C57BE633399/2011-bmw-z4/,WBALM1C57BE633399,Great Price,17299,2011 BMW Z4,Roadster sDrive35is,"Montebello, CA",75286,Titanium Silver Metallic,Coral Red,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-05-14 17:59:42.387838
