,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C54CE716574/2012-bmw-z4/,WBALL5C54CE716574,Great Price,18980,2012 BMW Z4,Roadster sDrive28i,"Abilene, TX",47714,Melbourne Red Metallic,Canyon Brown,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,4,2020-06-04 09:30:43.663141
1,2015 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53FP556843/2015-bmw-z4/,WBALL5C53FP556843,Excellent Price,19991,2015 BMW Z4,sDrive28i,"Gladstone, OR",62658,Jet Black,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-06-04 09:30:43.663141
2,2014 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53EJ105251/2014-bmw-z4/,WBALL5C53EJ105251,Excellent Price,17990,2014 BMW Z4,sDrive28i,"Burbank, CA",32820,Deep Sea Blue Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,0,2020-06-04 09:30:43.663141
3,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM7C56CE384520/2012-bmw-z4/,WBALM7C56CE384520,Great Price,16900,2012 BMW Z4,Roadster sDrive35i,"Redwood City, CA",78621,Black Sapphire Metallic,Black,MPG19 cty / 26 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-06-04 09:30:43.663141
4,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C55CJ103094/2012-bmw-z4/,WBALL5C55CJ103094,Great Price,15939,2012 BMW Z4,Roadster sDrive28i,"Canton, GA",85005,Melbourne Red Metallic,Black,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-06-04 09:30:43.663141
5,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C51BE377915/2011-bmw-z4/,WBALM5C51BE377915,Great Price,10991,2011 BMW Z4,Roadster sDrive30i,"Pacoima, CA",93076,Gray,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-06-04 09:30:43.663141
6,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C57BE633399/2011-bmw-z4/,WBALM1C57BE633399,Great Price,17099,2011 BMW Z4,Roadster sDrive35is,"Montebello, CA",75471,Titanium Silver Metallic,Coral Red,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-06-04 09:30:43.663141
