,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF3B0218410/2011-mazda-mx-5-miata/?zipcode=78299,JM1NC2PF3B0218410,Excellent Price,14990,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"San Antonio, TX",42889,True Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-29 13:33:03.364407
1,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF4D0232005/2013-mazda-mx-5-miata/,JM1NC2JF4D0232005,Excellent Price,9988,2013 Mazda MX-5 Miata,Sport Automatic,"Austin, TX",69004,Dolphin Gray Mica,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,2,2020-04-29 13:33:03.364407
2,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF3F0241101/2015-mazda-mx-5-miata/,JM1NC2MF3F0241101,Great Price,14488,2015 Mazda MX-5 Miata,Club Hard Top Auto,"Austin, TX",57940,Gray,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-29 13:33:03.364407
3,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2D0227957/2013-mazda-mx-5-miata/,JM1NC2PF2D0227957,Excellent Price,11870,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Centennial, CO",58307,Sparkling Black,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-29 13:33:03.364407
4,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1B0217109/2011-mazda-mx-5-miata/,JM1NC2PF1B0217109,Excellent Price,10995,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Bethany, OK",77573,Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-04-29 13:33:03.364407
5,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF6A0207286/2010-mazda-mx-5-miata/,JM1NC2FF6A0207286,Excellent Price,11295,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Plano, TX",72598,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-04-29 13:33:03.364407
6,2016 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NDAB71G0101441/2016-mazda-mx-5-miata/,JM1NDAB71G0101441,Excellent Price,13900,2016 Mazda MX-5 Miata,Sport Automatic,"Bothell, WA",37653,Arctic White,Black,MPG27 cty / 36 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-29 13:33:03.364407
7,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF7D0227182/2013-mazda-mx-5-miata/,JM1NC2MF7D0227182,Excellent Price,10999,2013 Mazda MX-5 Miata,Club Hard Top Manual,"Buford, GA",59198,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-04-29 13:33:03.364407
8,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF7F0240965/2015-mazda-mx-5-miata/,JM1NC2PF7F0240965,Excellent Price,14793,2015 Mazda MX-5 Miata,Grand Touring Hard Top Auto,"Riverdale, UT",63042,Meteor Gray,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-29 13:33:03.364407
9,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF9B0219389/2011-mazda-mx-5-miata/,JM1NC2JF9B0219389,Excellent Price,9945,2011 Mazda MX-5 Miata,Sport Automatic,"Sacramento, CA",75293,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-29 13:33:03.364407
10,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2EFXA0212928/2010-mazda-mx-5-miata/,JM1NC2EFXA0212928,Great Price,11499,2010 Mazda MX-5 Miata,Sport Automatic,"Tucson, AZ",29687,Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-29 13:33:03.364407
11,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2EF1A0208394/2010-mazda-mx-5-miata/,JM1NC2EF1A0208394,Great Price,8900,2010 Mazda MX-5 Miata,Sport Automatic,"Clermont, FL",66196,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,3,Personal or Rental Use,Clean,1,2020-04-29 13:33:03.364407
12,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF9C0219751/2012-mazda-mx-5-miata/,JM1NC2JF9C0219751,Great Price,12990,2012 Mazda MX-5 Miata,Sport Automatic,"Palm Springs, CA",21855,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-29 13:33:03.364407
13,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF3A0207102/2010-mazda-mx-5-miata/,JM1NC2FF3A0207102,Great Price,12950,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Pensacola, FL",54614,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-29 13:33:03.364407
14,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF7F0240254/2015-mazda-mx-5-miata/,JM1NC2PF7F0240254,Great Price,13600,2015 Mazda MX-5 Miata,Grand Touring Hard Top Auto,"Louisville, KY",74200,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-29 13:33:03.364407
15,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF6D0228920/2013-mazda-mx-5-miata/,JM1NC2PF6D0228920,Great Price,12918,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Daytona Beach, FL",69160,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-29 13:33:03.364407
16,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF8D0228711/2013-mazda-mx-5-miata/,JM1NC2PF8D0228711,Great Price,11795,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Hasbrouck Heights, NJ",51323,Dolphin Gray Metallic,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Theft Recovered,3,2020-04-29 13:33:03.364407
17,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2LF4F0242551/2015-mazda-mx-5-miata/,JM1NC2LF4F0242551,Great Price,12699,2015 Mazda MX-5 Miata,Club Auto,"Glendale, AZ",53208,Liquid Silver Metallic,Black W/Red Stitch,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-04-29 13:33:03.364407
