,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF3F0241101/2015-mazda-mx-5-miata/,JM1NC2MF3F0241101,Excellent Price,13988,2015 Mazda MX-5 Miata,Club Hard Top Auto,"Austin, TX",57940,Gray,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-05-07 10:57:37.951258
1,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF4D0232005/2013-mazda-mx-5-miata/,JM1NC2JF4D0232005,Excellent Price,9988,2013 Mazda MX-5 Miata,Sport Automatic,"Austin, TX",69004,Dolphin Gray Mica,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,2,2020-05-07 10:57:37.951258
2,2014 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF3E0237205/2014-mazda-mx-5-miata/,JM1NC2PF3E0237205,Great Price,13991,2014 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Houston, TX",54990,Zeal Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-05-07 10:57:37.951258
3,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1B0217109/2011-mazda-mx-5-miata/,JM1NC2PF1B0217109,Excellent Price,10995,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Bethany, OK",77573,Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-05-07 10:57:37.951258
4,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2EF1A0208394/2010-mazda-mx-5-miata/,JM1NC2EF1A0208394,Excellent Price,8100,2010 Mazda MX-5 Miata,Sport Automatic,"Clermont, FL",66196,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,3,Personal or Rental Use,Clean,1,2020-05-07 10:57:37.951258
5,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF6A0207286/2010-mazda-mx-5-miata/,JM1NC2FF6A0207286,Excellent Price,11295,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Plano, TX",72598,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-05-07 10:57:37.951258
6,2016 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NDAB71G0101441/2016-mazda-mx-5-miata/,JM1NDAB71G0101441,Excellent Price,13900,2016 Mazda MX-5 Miata,Sport Automatic,"Bothell, WA",37653,Arctic White,Black,MPG27 cty / 36 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-05-07 10:57:37.951258
7,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF7D0227182/2013-mazda-mx-5-miata/,JM1NC2MF7D0227182,Excellent Price,10999,2013 Mazda MX-5 Miata,Club Hard Top Manual,"Buford, GA",59198,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-05-07 10:57:37.951258
8,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF0B0219613/2011-mazda-mx-5-miata/,JM1NC2PF0B0219613,Great Price,12981,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Houston, TX",35942,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-05-07 10:57:37.951258
9,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF2A0208273/2010-mazda-mx-5-miata/,JM1NC2FF2A0208273,Excellent Price,10485,2010 Mazda MX-5 Miata,Touring PRHT Automatic,"Plantation, FL",48433,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-05-07 10:57:37.951258
10,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF5C0220234/2012-mazda-mx-5-miata/,JM1NC2JF5C0220234,Excellent Price,6995,2012 Mazda MX-5 Miata,Sport Automatic,"Arleta, CA",121160,Burgundy,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-05-07 10:57:37.951258
