,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1C0222313/2012-mazda-mx-5-miata/,JM1NC2PF1C0222313,Excellent Price,11491,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Houston, TX",43700,Stormy Blue Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,5,2020-06-04 09:30:12.530058
1,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2B0218981/2011-mazda-mx-5-miata/,JM1NC2PF2B0218981,Excellent Price,11691,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Conroe, TX",41512,Copper Red Mica,Dune Beige,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-06-04 09:30:12.530058
2,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF7D0227182/2013-mazda-mx-5-miata/,JM1NC2MF7D0227182,Excellent Price,10999,2013 Mazda MX-5 Miata,Club Hard Top Manual,"Buford, GA",59198,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-06-04 09:30:12.530058
3,2014 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PFXE0236360/2014-mazda-mx-5-miata/,JM1NC2PFXE0236360,Great Price,13402,2014 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Houston, TX",69394,Zeal Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-06-04 09:30:12.530058
4,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1B0217109/2011-mazda-mx-5-miata/,JM1NC2PF1B0217109,Great Price,10995,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Bethany, OK",77573,Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-06-04 09:30:12.530058
5,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF8D0227350/2013-mazda-mx-5-miata/,JM1NC2PF8D0227350,Excellent Price,11307,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Smyrna, GA",99620,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-06-04 09:30:12.530058
6,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF9C0224617/2012-mazda-mx-5-miata/,JM1NC2PF9C0224617,Great Price,15000,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Costa Mesa, CA",32138,Silver,Unknown,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-06-04 09:30:12.530058
7,2014 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF3E0233526/2014-mazda-mx-5-miata/,JM1NC2PF3E0233526,Excellent Price,14500,2014 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Lexington, SC",71188,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-06-04 09:30:12.530058
8,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1C0220206/2012-mazda-mx-5-miata/,JM1NC2PF1C0220206,Great Price,9988,2012 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Roseville, CA",111081,Silver,Gray,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-06-04 09:30:12.530058
9,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF5C0220234/2012-mazda-mx-5-miata/,JM1NC2JF5C0220234,Excellent Price,6995,2012 Mazda MX-5 Miata,Sport Automatic,"Arleta, CA",121160,Burgundy,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-06-04 09:30:12.530058
