,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C54BE380176/2011-bmw-z4/,WBALM5C54BE380176,Excellent Price,11900,2011 BMW Z4,Roadster sDrive30i,"Austin, TX",42900,Alpine White,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,2,Personal or Rental Use,Salvaged,4,2020-04-02 16:07:58.848983
1,2016 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C54G5A20645/2016-bmw-z4/,WBALL5C54G5A20645,Excellent Price,19995,2016 BMW Z4,sDrive28i,"Van Nuys, CA",65532,Jet Black,Black/Orange,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-02 16:07:58.848983
2,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C55CJ103094/2012-bmw-z4/,WBALL5C55CJ103094,Excellent Price,14999,2012 BMW Z4,Roadster sDrive28i,"Canton, GA",85001,Melbourne Red Metallic,Black,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-02 16:07:58.848983
3,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C56BE393889/2011-bmw-z4/,WBALM1C56BE393889,Great Price,18995,2011 BMW Z4,Roadster sDrive35is,"Lebanon, TN",53440,Black Sapphire Metallic,Coral Red,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,5,2020-04-02 16:07:58.848983
4,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C59CE716585/2012-bmw-z4/,WBALL5C59CE716585,Excellent Price,16999,2012 BMW Z4,Roadster sDrive28i,"Lakewood, WA",37321,Gold,Beige,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-02 16:07:58.848983
5,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C54BE379299/2011-bmw-z4/,WBALM5C54BE379299,Great Price,17184,2011 BMW Z4,Roadster sDrive30i,"Tampa, FL",37340,Deep Sea Blue Metallic,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,1,2020-04-02 16:07:58.848983
6,2014 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53EJ105252/2014-bmw-z4/,WBALL5C53EJ105252,Great Price,18500,2014 BMW Z4,sDrive28i,"Burbank, CA",32820,Deep Sea Blue Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,1,2020-04-02 16:07:58.848983
7,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C57BE379765/2011-bmw-z4/,WBALM5C57BE379765,Great Price,18599,2011 BMW Z4,Roadster sDrive30i,"Frederick, MD",37735,Space Grey Metallic,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-04-02 16:07:58.848983
8,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C59CE633812/2012-bmw-z4/,WBALM1C59CE633812,Great Price,19997,2012 BMW Z4,Roadster sDrive35is,"Wilmington, NC",64530,Space Grey Metallic,Unknown,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,4,2020-04-02 16:07:58.848983
9,2013 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C52DJ104821/2013-bmw-z4/,WBALL5C52DJ104821,Great Price,11999,2013 BMW Z4,Roadster sDrive28i,"Miami, FL",87778,Jet Black,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,3,2020-04-02 16:07:58.848983
