,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2LF0D0227722/2013-mazda-mx-5-miata/?zipcode=78299,JM1NC2LF0D0227722,Great Price,14990,2013 Mazda MX-5 Miata,Club Automatic,"San Antonio, TX",32448,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-24 10:40:27.463343
1,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF3F0241101/2015-mazda-mx-5-miata/,JM1NC2MF3F0241101,Great Price,14788,2015 Mazda MX-5 Miata,Club Hard Top Auto,"Austin, TX",57940,Gray,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-24 10:40:27.463343
2,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF2D0227957/2013-mazda-mx-5-miata/,JM1NC2PF2D0227957,Excellent Price,11910,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Centennial, CO",58307,Sparkling Black,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
3,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF1B0217109/2011-mazda-mx-5-miata/,JM1NC2PF1B0217109,Excellent Price,10995,2011 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Bethany, OK",77573,Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-04-24 10:40:27.463343
4,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF4D0232005/2013-mazda-mx-5-miata/,JM1NC2JF4D0232005,Great Price,10788,2013 Mazda MX-5 Miata,Sport Automatic,"Austin, TX",69004,Dolphin Gray Mica,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
5,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2FF6A0207286/2010-mazda-mx-5-miata/,JM1NC2FF6A0207286,Great Price,11295,2010 Mazda MX-5 Miata,Grand Touring PRHT Automatic,"Plano, TX",72598,Brilliant Black Clearcoat,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-04-24 10:40:27.463343
6,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF7D0227182/2013-mazda-mx-5-miata/,JM1NC2MF7D0227182,Excellent Price,10999,2013 Mazda MX-5 Miata,Club Hard Top Manual,"Buford, GA",59198,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
7,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF5D0227178/2013-mazda-mx-5-miata/,JM1NC2MF5D0227178,Excellent Price,14987,2013 Mazda MX-5 Miata,Club Hard Top Automatic,"Enterprise, AL",39919,True Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-24 10:40:27.463343
8,2016 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NDAB71G0101441/2016-mazda-mx-5-miata/,JM1NDAB71G0101441,Excellent Price,13900,2016 Mazda MX-5 Miata,Sport Automatic,"Bothell, WA",37653,Arctic White,Black,MPG27 cty / 36 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-24 10:40:27.463343
9,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF7F0240254/2015-mazda-mx-5-miata/,JM1NC2PF7F0240254,Excellent Price,13500,2015 Mazda MX-5 Miata,Grand Touring Hard Top Auto,"Louisville, KY",74200,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
10,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2EF1A0208394/2010-mazda-mx-5-miata/,JM1NC2EF1A0208394,Excellent Price,8900,2010 Mazda MX-5 Miata,Sport Automatic,"Clermont, FL",66196,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,3,Personal or Rental Use,Clean,1,2020-04-24 10:40:27.463343
11,2011 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF9B0219389/2011-mazda-mx-5-miata/,JM1NC2JF9B0219389,Excellent Price,9945,2011 Mazda MX-5 Miata,Sport Automatic,"Sacramento, CA",75293,Brilliant Black,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
12,2012 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF9C0219751/2012-mazda-mx-5-miata/,JM1NC2JF9C0219751,Great Price,12990,2012 Mazda MX-5 Miata,Sport Automatic,"Palm Springs, CA",21855,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-24 10:40:27.463343
13,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF7F0240965/2015-mazda-mx-5-miata/,JM1NC2PF7F0240965,Great Price,14897,2015 Mazda MX-5 Miata,Grand Touring Hard Top Auto,"Riverdale, UT",63042,Meteor Gray,Spicy Mocha,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-24 10:40:27.463343
14,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF7F0238674/2015-mazda-mx-5-miata/,JM1NC2JF7F0238674,Great Price,14990,2015 Mazda MX-5 Miata,Sport Auto,"Warren, MI",39010,Crystal White Pearl,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,3,2020-04-24 10:40:27.463343
15,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2EFXA0212928/2010-mazda-mx-5-miata/,JM1NC2EFXA0212928,Great Price,11499,2010 Mazda MX-5 Miata,Sport Automatic,"Tucson, AZ",29687,Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-24 10:40:27.463343
16,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2EFXA0207504/2010-mazda-mx-5-miata/,JM1NC2EFXA0207504,Great Price,10980,2010 Mazda MX-5 Miata,Sport Automatic,"Tustin, CA",57280,True Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
17,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2JF6F0240979/2015-mazda-mx-5-miata/,JM1NC2JF6F0240979,Great Price,12596,2015 Mazda MX-5 Miata,Sport Auto,"Chamblee, GA",44568,Meteor Gray,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,4,Fleet or Mixed Use,Clean,2,2020-04-24 10:40:27.463343
18,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PF6D0228920/2013-mazda-mx-5-miata/,JM1NC2PF6D0228920,Great Price,12918,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Daytona Beach, FL",69160,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
19,2013 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2PFXD0228998/2013-mazda-mx-5-miata/,JM1NC2PFXD0228998,Great Price,12500,2013 Mazda MX-5 Miata,Grand Touring Hard Top Automatic,"Buena Park, CA",76573,Liquid Silver Metallic,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-24 10:40:27.463343
20,2010 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2EF6A0210464/2010-mazda-mx-5-miata/,JM1NC2EF6A0210464,Excellent Price,10990,2010 Mazda MX-5 Miata,Touring Automatic,"Augusta, GA",62100,Red,Black,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-24 10:40:27.463343
21,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2MF2F0241624/2015-mazda-mx-5-miata/,JM1NC2MF2F0241624,Great Price,12990,2015 Mazda MX-5 Miata,Club Hard Top Auto,"Orlando, FL",75588,Crystal White Pearl,Black W/Red Stitch,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-24 10:40:27.463343
22,2015 Mazda MX-5 Miata,https://penfed.truecar.com/used-cars-for-sale/listing/JM1NC2LF4F0242551/2015-mazda-mx-5-miata/,JM1NC2LF4F0242551,Great Price,12699,2015 Mazda MX-5 Miata,Club Auto,"Glendale, AZ",53208,Liquid Silver Metallic,Black W/Red Stitch,MPG21 cty / 28 hwy,2.0L Inline-4 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-04-24 10:40:27.463343
