,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C55CE716597/2012-bmw-z4/,WBALL5C55CE716597,Great Price,16964,2012 BMW Z4,Roadster sDrive28i,"San Antonio, TX",50010,Alpine White,Beige,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-04-30 08:41:11.663334
1,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C5XBE379551/2011-bmw-z4/,WBALM5C5XBE379551,Excellent Price,14199,2011 BMW Z4,Roadster sDrive30i,"El Paso, TX",78671,Jet Black,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-04-30 08:41:11.663334
2,2010 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C54AE377180/2010-bmw-z4/,WBALM5C54AE377180,Great Price,12995,2010 BMW Z4,Roadster sDrive30i,"National City, CA",87651,Orion Silver Metallic,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,3,2020-04-30 08:41:11.663334
3,2014 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53EJ105252/2014-bmw-z4/,WBALL5C53EJ105252,Great Price,18500,2014 BMW Z4,sDrive28i,"Burbank, CA",32820,Deep Sea Blue Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,1,2020-04-30 08:41:11.663334
4,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM7C52BE382584/2011-bmw-z4/,WBALM7C52BE382584,Great Price,16900,2011 BMW Z4,Roadster sDrive35i,"Honolulu, HI",57563,Alpine White,Black,MPG19 cty / 26 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-04-30 08:41:11.663334
5,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C59CE716585/2012-bmw-z4/,WBALL5C59CE716585,Great Price,16999,2012 BMW Z4,Roadster sDrive28i,"Lakewood, WA",37321,Gold,Beige,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-30 08:41:11.663334
6,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C57BE633399/2011-bmw-z4/,WBALM1C57BE633399,Great Price,17299,2011 BMW Z4,Roadster sDrive35is,"Montebello, CA",75286,Titanium Silver Metallic,Coral Red,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-04-30 08:41:11.663334
7,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C59CE633812/2012-bmw-z4/,WBALM1C59CE633812,Great Price,19800,2012 BMW Z4,Roadster sDrive35is,"Wilmington, NC",64530,Space Grey Metallic,Unknown,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,4,2020-04-30 08:41:11.663334
