,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2010 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C54AE377180/2010-bmw-z4/,WBALM5C54AE377180,Great Price,12995,2010 BMW Z4,Roadster sDrive30i,"National City, CA",87651,Orion Silver Metallic,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,3,2020-04-19 09:55:28.232761
1,2016 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C54G5A20645/2016-bmw-z4/,WBALL5C54G5A20645,Excellent Price,19995,2016 BMW Z4,sDrive28i,"Van Nuys, CA",65532,Jet Black,Black/Orange,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-04-19 09:55:28.232761
2,2014 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53EJ105252/2014-bmw-z4/,WBALL5C53EJ105252,Great Price,18500,2014 BMW Z4,sDrive28i,"Burbank, CA",32820,Deep Sea Blue Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,1,2020-04-19 09:55:28.232761
3,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C59CE716585/2012-bmw-z4/,WBALL5C59CE716585,Great Price,16999,2012 BMW Z4,Roadster sDrive28i,"Lakewood, WA",37321,Gold,Beige,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-04-19 09:55:28.232761
4,2013 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C52DJ104821/2013-bmw-z4/,WBALL5C52DJ104821,Great Price,11699,2013 BMW Z4,Roadster sDrive28i,"Miami, FL",87778,Jet Black,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,3,2020-04-19 09:55:28.232761
5,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C59CE633812/2012-bmw-z4/,WBALM1C59CE633812,Great Price,19997,2012 BMW Z4,Roadster sDrive35is,"Wilmington, NC",64530,Space Grey Metallic,Unknown,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,4,2020-04-19 09:55:28.232761
6,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C57BE633399/2011-bmw-z4/,WBALM1C57BE633399,Great Price,17299,2011 BMW Z4,Roadster sDrive35is,"Montebello, CA",75286,Titanium Silver Metallic,Coral Red,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-04-19 09:55:28.232761
